,Id,path,speakerId,Self-reported fluency level ,First Language spoken,Current language used for work/school,gender,ageRange,rolloff_mean,rolloff_std,flux_mean,flux_std,centroid_mean,centroid_std,zcr_mean,zcr_std,duration,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,chroma_cens_0,chroma_cens_1,chroma_cens_2,chroma_cens_3,chroma_cens_4,chroma_cens_5,chroma_cens_6,chroma_cens_7,chroma_cens_8,chroma_cens_9,chroma_cens_10,chroma_cens_11
10,10,dsl_data/audio/speakers/4BrX8aDqK2cLZRYl/175349d0-452d-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,3,0,0,1,0,3783.747953527114,1390.2200390295257,1.150606,2.3259811,1740.9679345919305,976.6880278938398,0.06427842973900803,0.2452482685143678,3.1573242630385487,-458.3082,63.951317,19.49389,41.912617,4.778215,18.268318,3.535623,5.504359,2.6139088,2.0270166,-2.1584501,-9.501324,-4.3435006,-6.9169827,-1.6538087,-1.9729167,1.6644487,-3.608143,-1.91638,-3.2078402,-3.828684,-1.3415493,-6.3798356,-2.331674,-4.550535,-2.0573132,-3.861887,-3.4394062,-4.321873,-5.2979403,1.0765519,-1.5409586,-1.3649724,1.2325925,2.1135159,-2.98167,-2.411597,-0.6436269,-1.6541988,0.3576811,-0.44998193,-0.53626454,-1.3575381,-0.8625176,-1.3084819,-0.38069642,-1.0349666,-0.74177057,-0.10571433,-1.1296242,0.19769995,0.19209708,0.19781816,0.21841401,0.20329842,0.21287635,0.16850203,0.17826341,0.34502703,0.32301927,0.4104142,0.42179906
11,11,dsl_data/audio/speakers/aokxBz9LxXHzZzay/76a80ca0-44cd-11e9-a8b6-e96f2628bf65.wav,aokxBz9LxXHzZzay,3,0,0,1,0,2874.0430170946784,1180.8058740517363,1.5233407,2.3774054,1553.636867864801,767.4666377100485,0.07540868342415187,0.26404964284843846,2.3220408163265307,-418.15335,84.51714,0.7632349,36.62377,-25.279863,-22.1043,-9.2213745,-7.4549303,-3.9702013,-10.46147,-6.9070134,-11.345088,-13.598555,-10.893506,-9.493203,-10.984109,-6.841435,-5.259945,-6.7888594,-11.402399,-11.196437,-6.7611494,-6.1198654,-2.4208682,-1.4882134,3.0604115,2.8059378,2.7088115,2.0661957,-0.16685139,1.7004478,-0.5390448,3.8890405,1.3965162,-1.1345931,0.89680904,-1.5230798,-0.013573354,-0.5697764,-2.0565283,-4.6888013,-2.277765,-0.9851746,-4.7888865,-2.3626833,-2.6545296,-3.2058887,0.07376837,-1.0523233,-1.1687111,0.25360808,0.20931849,0.20564637,0.15655771,0.16364494,0.10678592,0.1505037,0.20711774,0.275921,0.4672662,0.44719967,0.3556233
12,12,dsl_data/audio/speakers/7B4XmNppyrCK977p/669318d0-45c9-11e9-8ec0-7bf21d1cfe30.wav,7B4XmNppyrCK977p,3,0,0,0,1,4245.129794761783,1687.7076766857347,1.2042494,2.0813043,2442.593252000271,995.0469678169509,0.28391284041679415,0.450895042624403,2.8160090702947844,-551.9938,66.88963,-30.589275,7.5114365,-13.006736,-13.117113,0.37062967,-4.648208,-9.813247,-4.8524942,-6.696006,-7.026256,-3.4864638,-4.7709227,-0.05112315,-4.194255,-1.6129063,-4.104175,-5.6001196,-1.2362976,-5.4944143,-1.3173125,-3.3517616,-5.3926253,-0.4562576,-1.7631403,-4.152625,-2.356079,-2.1150565,-2.8470664,-1.3984607,-1.5298461,-1.3244087,-2.8770797,-2.0383494,-0.97857267,-2.17077,-1.6991184,-1.3955697,-1.1556921,-1.0867608,-0.48204964,-0.8215166,0.4767366,-0.06578749,-1.9040976,-1.0602973,-1.4770492,-0.8931672,0.12657052,0.31220266,0.24051037,0.24779393,0.253271,0.27836242,0.24957313,0.27015457,0.22536755,0.23683606,0.27518833,0.33267102,0.38449496
13,13,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/055c7fe0-4527-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,3,0,0,0,0,2699.7943584735576,1822.4864601177544,1.2778463,1.3013353,1593.632804538705,1054.9585895412886,0.1003947967808878,0.30052567537601843,1.7920181405895692,-409.13446,92.30075,18.323874,12.628692,-45.554886,-11.419816,-12.11717,-11.860555,-14.985179,-13.869995,-2.2843459,-21.79539,-2.2419574,-7.8676867,-11.501297,1.0094676,-14.40894,-5.0571795,-1.9836111,-10.812047,-5.5431423,-3.112574,-1.1710739,-0.8039657,-1.0648597,1.9792486,-1.372832,-2.189817,-0.5981686,-2.728,-1.558693,-2.6461773,-1.3866868,-1.2938076,-4.7275033,-4.3310895,-3.009641,-3.267149,-4.351462,-2.1384807,-3.427854,-5.0486484,-3.4533696,-3.1387587,-0.9461751,3.098503,7.7855186,6.397412,3.9671235,6.395106,0.3625407,0.35495657,0.4115092,0.32041144,0.17363605,0.17427221,0.12321684,0.16848496,0.23596303,0.24131288,0.19994633,0.28890944
14,14,dsl_data/audio/speakers/k5bqyxx2lzIbrlg9/d7edcaf0-4526-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,3,0,0,0,0,3307.4357217817164,1797.494819854423,1.7087425,2.209896,1801.9280417581524,1102.218712655204,0.12261950456169358,0.3279999415590472,1.5360090702947846,-348.1617,93.67401,0.9658949,43.593307,-29.284384,-2.3253012,-34.99719,-11.938405,-9.045574,-31.832495,-6.9319143,-22.366888,-0.9448047,-6.4217324,-21.775045,-9.963268,-8.176729,-2.4525738,-4.7988477,-10.767629,-7.186964,-0.75214314,-2.9479883,-5.236316,-0.91094613,1.1430498,-2.3105094,2.8481805,-1.3568234,-4.58535,1.67968,-1.881341,0.90669715,-1.8767391,-5.140875,-3.63051,-4.319128,-4.596703,-5.209226,-4.1336007,-3.4712555,-1.6447445,-4.859668,-3.2928255,0.3024325,3.0072882,5.259835,3.2916248,1.8722485,-3.2181106,0.1564784,0.26546603,0.4495192,0.3119631,0.08453037,0.12536198,0.08716778,0.06397096,0.12144107,0.215274,0.3819489,0.29924878
15,15,dsl_data/audio/speakers/ppymZZDb2Bf4NQnE/e198fb50-44f0-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,3,0,0,1,1,5076.298828125,1519.803648504237,2.058021,2.5926557,3049.176116254614,1026.5675094665949,0.25647911658653844,0.43668933962432294,2.414875283446712,-351.65677,56.38672,-53.02477,40.494583,-22.79244,12.814248,-25.965382,6.8429623,-10.874971,1.6764421,1.2214885,-13.482442,5.6997566,-8.857469,8.16472,-10.306688,2.7691958,-3.2323365,-3.1993713,-1.0225493,-4.6493173,3.6421201,-5.893907,5.4960327,-3.9542685,0.07319119,-0.219607,1.0710363,1.6810935,-1.4076977,1.0826372,-4.3933334,0.9372698,-2.482861,1.4855958,-0.11636013,-0.29614958,0.26022217,-0.50779986,1.3586568,0.46197322,0.36138242,-2.9185812,-0.13131809,-2.3851388,0.3701993,-1.2450966,-1.6541584,1.1150771,0.051647812,0.26935872,0.22408894,0.2167288,0.21390472,0.24694444,0.2453636,0.25187424,0.24017327,0.28086275,0.2440847,0.43311143,0.4014116
16,16,dsl_data/audio/speakers/7B4XmNppyrCK977p/4de9de30-45cf-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,3,0,0,0,1,4105.234958814538,1665.321962510377,1.4701368,2.3435228,2463.687894628703,1055.5443433982052,0.2521471088435374,0.4342452582877362,2.1333333333333333,-561.69104,55.779118,-36.220154,29.19433,6.228726,-9.486332,-3.7424111,-8.931406,-7.7428575,-4.3444476,-7.9188933,-7.2481756,-6.518722,-7.05101,1.0870669,-4.500708,-3.7934823,-3.044124,-4.2656493,-3.4685102,-8.369787,-2.4985228,-2.8680096,-5.911058,-4.166565,-3.6121953,-3.1673305,-2.1533341,-2.262141,-4.100483,-1.2632926,-0.9903933,-1.5514852,-1.2403816,-0.98488295,-1.3243908,-2.7025301,-0.9151928,-0.3634369,-0.51818126,-0.7738937,-0.47155094,0.519993,0.36172652,-0.50247616,0.15679249,0.24709749,-0.8011755,0.45684376,-0.37359545,0.26257807,0.23082228,0.28042707,0.34130344,0.2933856,0.21230115,0.17687102,0.22917828,0.25725028,0.31349477,0.38289294,0.34021223
17,17,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/cea4a970-44e8-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,3,0,0,1,0,4000.7369192023025,2109.846125377994,1.7108916,2.2161913,2122.3293348124803,1055.858896479881,0.1591119492542431,0.3657804489837562,2.6453514739229025,-379.06808,103.92766,-15.231529,26.586792,-18.669584,8.637073,-19.013023,-7.7515774,-3.0174534,-5.257212,-0.8014474,-8.457839,-4.7995095,-8.245283,3.746318,-7.997535,-7.127799,-7.692869,-6.131831,-6.5413427,-9.163252,0.425871,-4.5804048,-2.833436,-6.810537,-2.4154115,-3.082902,-2.3446844,0.6786975,-4.660063,-2.807067,-3.4101517,1.9927901,-2.648906,-4.925668,-2.1001654,0.6269814,1.6548549,0.09261791,4.5712123,3.6329904,3.7486124,0.647923,0.053498574,2.1859367,0.70260733,-0.8822216,-0.103254125,-0.4577069,-2.3706553,0.22140853,0.19646244,0.19189,0.2881675,0.43773487,0.33391026,0.2693254,0.2655308,0.25202996,0.22257374,0.2699899,0.2709692
18,18,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/9768a8e0-44ec-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,3,0,0,1,0,3927.259585731908,2195.4209116103016,1.7040987,3.0983396,2122.147986142729,1139.5264232330262,0.16518086747814162,0.3713437066887093,2.6453514739229025,-390.00668,99.947235,-8.971695,11.226303,-17.715513,5.1055202,-22.198639,-7.0637302,-7.1997256,-4.9646864,2.3248107,-10.205274,-3.6756728,-4.6625876,-1.2425512,-12.470015,-7.6048393,-5.116301,-3.791618,-4.9645514,-6.78462,-1.5640064,-6.749079,-1.7725774,-5.1096325,-4.647711,-5.3811088,-4.783378,-1.8233334,-2.0554326,0.19491714,-1.5413064,2.7874,1.4813842,2.8287835,0.93833536,-1.9017818,-0.58757615,-0.52528685,2.6253676,0.28192347,0.7523805,1.9153347,2.163908,0.5279725,-0.6307519,0.64172405,0.15489873,-0.3184094,-0.53109765,0.1882759,0.2032209,0.2245419,0.31327394,0.40712523,0.27943364,0.25311413,0.32393098,0.3245499,0.25399804,0.2524054,0.18623966
19,19,dsl_data/audio/speakers/7B4XmNppyrCK977p/b145fb00-45c8-11e9-8ec0-7bf21d1cfe30.wav,7B4XmNppyrCK977p,3,0,0,0,1,4344.172796801986,1734.5517455896804,1.2334425,2.1522756,2608.1424888095253,1049.6848045966324,0.29111001154543953,0.4542741162816275,2.4746938775510205,-519.5719,58.489017,-27.341265,10.4838,-8.883122,-12.861165,1.9766016,-7.0623493,-10.188664,-3.2735252,-6.0556607,-4.839248,-2.0648556,-4.540238,0.28732052,-3.4884422,-4.9417877,-4.363103,-3.7049904,-3.3019032,-6.343149,0.120809644,-2.2060063,-6.7711325,-2.5698185,-2.6006105,-2.9364402,-1.3078601,-3.4577875,-3.870942,-1.1908662,-2.1505795,-1.3061087,-2.229419,-3.011789,-0.83704424,-1.1648529,-0.93055934,-1.3759298,-1.5983632,-1.453702,-0.77836967,-0.9940208,-1.9091971,-0.28228652,-0.3902856,-0.70132524,0.8052676,0.80350864,0.5440317,0.33605865,0.28276557,0.28317147,0.2073994,0.22993897,0.20331012,0.20230184,0.2193067,0.27970502,0.32217157,0.33751187,0.38666955
20,20,dsl_data/audio/speakers/7B4XmNppyrCK977p/a2a83b90-45cc-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,3,0,0,0,1,4482.4951171875,1459.9969803816862,1.4059654,1.8930225,2705.0968296947317,1014.1333201442974,0.293011466999162,0.45514365557059117,2.2187301587301587,-577.7425,58.914303,-36.517597,35.113575,-8.511274,-8.6978655,2.3781297,-16.265146,-7.897142,3.0972023,-7.2804923,-7.938591,-6.858422,-6.0809608,4.4767385,-6.2221465,-2.2936301,-3.056545,-6.9212384,-2.1938868,-7.193334,-0.34596434,-5.692575,-8.007179,-0.4191623,-4.159914,-4.615839,-2.3015585,-2.9777184,-2.5812762,-0.3247405,0.02387037,-2.7501361,-5.387852,-3.6217587,-4.578962,-3.415395,-0.8213479,-1.4370078,-0.55274636,-0.8706767,1.2563215,0.12158326,-0.9694777,-0.26381108,-1.9476377,-1.1938206,-0.9604416,-0.46006358,-0.12902586,0.288547,0.19084574,0.18099512,0.24921341,0.28232718,0.27251926,0.16093361,0.18957312,0.28848892,0.35197377,0.37184778,0.40413046
21,21,dsl_data/audio/speakers/oOK5kxoW7dskMbaK/948ba0a0-44ec-11e9-a1ea-79ca03012c0e.wav,oOK5kxoW7dskMbaK,3,0,0,1,0,3701.8997334988317,2176.397415541766,1.325748,1.9292251,1931.6712480474962,998.4845698691926,0.1392599923030403,0.346217629312543,2.4746938775510205,-375.55725,96.21414,0.43667638,7.843047,-17.867523,-4.9248185,-13.491472,-11.114581,-6.876056,-2.948543,1.6115009,-5.983174,-7.570944,-5.0227156,-2.0460804,-12.737486,-10.0777235,-5.5053334,-3.4579182,-5.5348973,-5.7668834,-1.9381016,-7.1673026,-2.3268595,-4.840732,-6.2323523,-3.907293,-4.8822265,-2.222513,-0.5920861,-0.39270994,-0.68014026,1.5842429,-0.7459593,1.693131,2.2232857,2.3539495,5.383364,3.5614803,4.1626654,-0.5532249,-2.082942,1.0878812,2.3650315,2.6958473,0.019893134,-1.8832457,-1.0362424,0.64561206,0.9266506,0.23203874,0.21674736,0.19511475,0.29306573,0.36612886,0.32246032,0.32321677,0.20386463,0.2658338,0.26844138,0.25435838,0.17724353
22,22,dsl_data/audio/speakers/7B4XmNppyrCK977p/c8cea970-45cd-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,3,0,0,0,1,3844.3789274796195,1862.1219639015744,1.0850517,2.1631474,2083.2673351613903,969.9429715006448,0.20746173469387755,0.4054890421844772,2.1333333333333333,-517.25037,87.6278,-28.00304,-0.96260136,1.6859012,-20.135702,-3.0616555,1.486139,-10.20294,-6.3495703,-3.9319265,-6.468888,-3.930443,-3.4047606,-4.5363526,-3.9785252,-3.654658,-6.2552595,-5.3864927,-6.2113905,-8.741149,-2.2286403,-3.5663605,-5.9926033,0.07743806,-2.9088807,-4.9036217,-1.6942025,-3.5442936,-4.559318,-2.8212671,-2.788381,-1.843227,-0.91000825,-3.4629722,-3.0343416,-1.961142,-2.9513907,-1.4380488,-1.7189888,-2.8645315,-2.6629772,-2.8397684,-2.8255725,-1.5691911,0.36818674,-0.20679346,-0.20921658,1.3179395,2.0515606,0.41104245,0.2745333,0.24661674,0.20036246,0.18678904,0.1452438,0.15366887,0.20991687,0.18281288,0.24561547,0.3398253,0.46523252
